epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.8792,1.35719,5.16507,1.15713,0.0272,0.06466,0.03424,0.02595,1.39904,inf,1.0538,5.17029e-05,5.17029e-05,5.17029e-05
2,141.521,1.12568,4.54498,0.98913,0.04366,0.14276,0.04732,0.03468,1.55493,inf,1.07548,0.000102236,0.000102236,0.000102236
3,211.805,1.05922,3.78588,0.96392,0.06865,0.23515,0.06919,0.05327,1.28746,3.37306,0.99913,0.000151299,0.000151299,0.000151299
4,289.745,0.99935,3.13687,0.95124,0.1065,0.33179,0.10534,0.08009,1.24354,3.01207,0.99964,0.000149381,0.000149381,0.000149381
5,378.475,0.94642,2.74772,0.93952,0.15336,0.35683,0.14642,0.10729,1.30411,3.05468,1.03124,0.000147175,0.000147175,0.000147175
6,460.193,0.91142,2.51949,0.93436,0.18997,0.42027,0.19666,0.14262,1.24257,2.80316,0.99742,0.000144969,0.000144969,0.000144969
7,539.99,0.89239,2.32785,0.92813,0.23208,0.44671,0.24404,0.17827,1.25909,2.68497,1.02638,0.000142762,0.000142762,0.000142762
8,625.566,0.87761,2.18634,0.92907,0.28139,0.42428,0.2836,0.20708,1.19804,2.53617,1.00953,0.000140556,0.000140556,0.000140556
9,707.793,0.84726,2.03898,0.91916,0.34025,0.4632,0.34979,0.25674,1.14224,2.29704,0.98788,0.00013835,0.00013835,0.00013835
10,782.016,0.83133,1.91713,0.91735,0.39134,0.46319,0.39313,0.28071,1.20876,2.30926,1.00862,0.000136143,0.000136143,0.000136143
11,855.041,0.8155,1.79531,0.9113,0.45669,0.52964,0.47874,0.32723,1.24186,1.88379,1.01721,0.000133937,0.000133937,0.000133937
12,924.823,0.79771,1.67393,0.90869,0.53896,0.51564,0.51949,0.39298,1.02957,1.99403,0.96032,0.000131731,0.000131731,0.000131731
13,994.454,0.78236,1.56028,0.91042,0.58905,0.48369,0.50921,0.37682,1.11047,2.24786,0.99385,0.000129525,0.000129525,0.000129525
14,1061.22,0.76323,1.45388,0.90435,0.63048,0.48476,0.53147,0.40408,1.06021,2.26069,0.99287,0.000127318,0.000127318,0.000127318
15,1129.43,0.731,1.35464,0.89809,0.68914,0.52275,0.58672,0.4467,1.05179,1.93555,0.98251,0.000125112,0.000125112,0.000125112
16,1197.22,0.72854,1.29092,0.89781,0.71838,0.50062,0.57687,0.44411,1.03779,2.10608,0.98848,0.000122906,0.000122906,0.000122906
17,1264,0.7088,1.21566,0.89433,0.76984,0.56352,0.64925,0.50428,0.94335,1.79969,0.94789,0.000120699,0.000120699,0.000120699
18,1330.3,0.70181,1.16493,0.8918,0.76595,0.55422,0.63791,0.46085,1.13992,1.90844,1.01665,0.000118493,0.000118493,0.000118493
19,1399.05,0.68486,1.10115,0.88833,0.80247,0.57801,0.67046,0.4859,1.10952,1.79548,0.99324,0.000116287,0.000116287,0.000116287
20,1468.1,0.67882,1.07208,0.88821,0.81303,0.57749,0.67132,0.5166,0.98051,1.76481,0.96187,0.000114081,0.000114081,0.000114081
21,1536.03,0.67788,1.02798,0.88814,0.82021,0.56949,0.6648,0.49388,1.08002,1.81404,0.99325,0.000111874,0.000111874,0.000111874
22,1603.66,0.66395,0.99063,0.8845,0.8391,0.60827,0.70817,0.53849,0.99283,1.6256,0.96119,0.000109668,0.000109668,0.000109668
23,1671.44,0.66454,0.96241,0.88311,0.83845,0.60288,0.70036,0.54171,0.96251,1.62982,0.95172,0.000107462,0.000107462,0.000107462
24,1738.78,0.64521,0.92982,0.88152,0.85801,0.67637,0.77213,0.5604,1.05843,1.30125,0.97898,0.000105255,0.000105255,0.000105255
25,1805.76,0.645,0.90631,0.87861,0.85874,0.61348,0.71246,0.553,0.95483,1.55604,0.9522,0.000103049,0.000103049,0.000103049
26,1871.63,0.64324,0.88522,0.87779,0.84425,0.58646,0.67923,0.51267,1.03975,1.7777,0.97279,0.000100843,0.000100843,0.000100843
27,1937.35,0.63867,0.85712,0.87577,0.81039,0.48438,0.58127,0.45953,1.06809,2.27426,0.99434,9.86366e-05,9.86366e-05,9.86366e-05
28,2004.52,0.63675,0.84699,0.87734,0.80379,0.49923,0.59494,0.45822,1.07996,2.2076,1.00159,9.64303e-05,9.64303e-05,9.64303e-05
29,2070.73,0.62748,0.81758,0.87522,0.85448,0.59477,0.68656,0.52845,1.01619,1.69906,0.97263,9.4224e-05,9.4224e-05,9.4224e-05
30,2136.79,0.62199,0.80096,0.87355,0.82692,0.52843,0.62808,0.47815,1.08484,2.02333,0.99618,9.20177e-05,9.20177e-05,9.20177e-05
31,2203.06,0.61741,0.7835,0.87299,0.85733,0.54832,0.64869,0.50605,0.99965,1.92935,0.97199,8.98114e-05,8.98114e-05,8.98114e-05
32,2269.03,0.62147,0.77373,0.87219,0.8445,0.54931,0.64672,0.49055,1.07125,1.9784,0.98875,8.76051e-05,8.76051e-05,8.76051e-05
33,2334.49,0.60362,0.74985,0.86961,0.84596,0.49515,0.5903,0.46202,1.11019,2.2544,1.0105,8.53989e-05,8.53989e-05,8.53989e-05
34,2401.06,0.60801,0.75363,0.87015,0.83865,0.54844,0.64978,0.49944,1.03991,1.94944,0.97822,8.31926e-05,8.31926e-05,8.31926e-05
35,2466.25,0.59948,0.72034,0.86843,0.78506,0.40557,0.50861,0.39619,1.15723,2.76535,1.03669,8.09863e-05,8.09863e-05,8.09863e-05
36,2532.09,0.59727,0.72158,0.86864,0.85256,0.53104,0.62935,0.49476,1.01868,2.00052,0.97668,7.878e-05,7.878e-05,7.878e-05
37,2597.39,0.60211,0.70851,0.86775,0.82988,0.49573,0.59105,0.44656,1.1587,2.23647,1.02797,7.65737e-05,7.65737e-05,7.65737e-05
38,2663.22,0.6009,0.70506,0.86931,0.83866,0.48255,0.58131,0.44872,1.12139,2.26426,1.01712,7.43674e-05,7.43674e-05,7.43674e-05
39,2730.2,0.59225,0.68712,0.8642,0.86756,0.6361,0.72629,0.55826,0.97114,1.48579,0.95439,7.21611e-05,7.21611e-05,7.21611e-05
